subject ID,age,gender,handedness,question ID,condition,value
subject ID,age,gender,handedness,question ID,condition,value
subject ID,age,gender,handedness,question ID,condition,value
,,,,0,,0.6916602
,,,,1,,0.207666
,,,,2,,0.7800977
subject ID,age,gender,handedness,question ID,condition,value
,,,,0,,1
,,,,1,,0.05328125
,,,,2,,0.7345898
subject ID,age,gender,handedness,question ID,condition,value
,,,,0,,0.2416211
,,,,1,,0.7362305
,,,,2,,0.1471582
subject ID,age,gender,handedness,question ID,condition,value
,,,,0,,0.7291504
subject ID,age,gender,handedness,question ID,condition,value
,,,,0,,0.6801172
,,,,1,,0.1933105
,,,,2,,0.7926172
subject ID,age,gender,handedness,question ID,condition,value
,,,,0,,0.1912402
,,,,1,,0.7820215
,,,,2,,0.2184277
subject ID,age,gender,handedness,question ID,condition,value
,,,,0,,0.184707
,,,,1,,0.9754297
,,,,2,,0.3202344
